,Country,Total Cases,New Cases,Total deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Tot. Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Date
71,Cameroon,730,,10 ,,60,660,,27,0.4,,,2020-04-09
72,Kazakhstan,727,,7 ,,54,666,21,39,0.4,"56,775","3,024",2020-04-09
73,Diamond Princess,712,,11 ,,619,82,10,,,,,2020-04-09
74,Slovakia,682,,2 ,,16,664,3,125,0.4,"19,681","3,605",2020-04-09
75,Tunisia,628,,24 ,,25,579,67,53,2,"8,878",751,2020-04-09
76,North Macedonia,617,,29 ,,35,553,15,296,14,"6,230","2,990",2020-04-09
77,Bulgaria,593,,24 ,,42,527,27,85,3,"15,899","2,288",2020-04-09
78,Latvia,577,,2 ,,16,559,5,306,1,"24,036","12,743",2020-04-09
79,Lebanon,576,,19 ,,62,495,29,84,3,"10,808","1,583",2020-04-09
80,Andorra,564,,23 ,,52,489,17,"7,300",298,"1,673","21,653",2020-04-09
81,Uzbekistan,545,,3 ,,30,512,8,16,0.09,,,2020-04-09
82,Cyprus,526,,9 ,,52,465,13,436,7,"14,273","11,822",2020-04-09
83,Costa Rica,502,,3 ,,29,470,15,99,0.6,"6,035","1,185",2020-04-09
84,Cuba,457,,12 ,,27,418,15,40,1,"9,410",831,2020-04-09
85,Uruguay,456,,7 ,,192,257,14,131,2,"6,175","1,778",2020-04-09
86,Afghanistan,444,,14 ,,29,401,,11,0.4,,,2020-04-09
87,Oman,419,,2 ,,72,345,3,82,0.4,,,2020-04-09
88,Burkina Faso,414,,23 ,,134,257,,20,1,,,2020-04-09
89,Albania,400,,22 ,,154,224,7,139,8,"2,989","1,039",2020-04-09
90,Ivory Coast,384,,3 ,,48,333,,15,0.1,,,2020-04-09
91,Taiwan,379,,5 ,,67,307,,16,0.2,"40,702","1,709",2020-04-09
92,Réunion,362,, ,,40,322,4,404,,,,2020-04-09
93,Jordan,358,,6 ,,150,202,5,35,0.6,"17,000","1,666",2020-04-09
94,Channel Islands,351,,8 ,,38,305,,"2,019",46,"1,157","6,655",2020-04-09
95,Honduras,343,+31,23 ,+1,6,314,10,35,2,,,2020-04-09
96,Niger,342,,11 ,,28,303,,14,0.5,"4,199",173,2020-04-09
97,Ghana,313,,6 ,,34,273,2,10,0.2,,,2020-04-09
98,San Marino,308,,34 ,,45,229,14,"9,077","1,002",722,"21,278",2020-04-09
99,Malta,299,,1 ,,16,282,4,677,2,"12,731","28,833",2020-04-09
100,Nigeria,276,,6 ,,44,226,2,1,0.03,"5,000",24,2020-04-09
101,Mauritius,273,,7 ,,19,247,3,215,6,"4,913","3,863",2020-04-09
102,Kyrgyzstan,270,,4 ,,33,233,5,41,0.6,"9,618","1,474",2020-04-09
103,Palestine,263,,1 ,,44,218,,52,0.2,"15,450","3,029",2020-04-09
104,Vietnam,251,, ,,126,125,8,3,,"110,124","1,131",2020-04-09
105,Montenegro,248,,2 ,,4,242,7,395,3,"2,329","3,708",2020-04-09
106,Senegal,244,,2 ,,113,129,1,15,0.1,,,2020-04-09
107,Bangladesh,218,,20 ,,33,165,1,1,0.1,"5,164",31,2020-04-09
108,Georgia,211,,3 ,,50,158,6,53,0.8,"3,271",820,2020-04-09
109,Bolivia,210,,15 ,,2,193,3,18,1,591,51,2020-04-09
110,Sri Lanka,189,,7 ,,44,138,5,9,0.3,"3,248",152,2020-04-09
111,Mayotte,184,,2 ,,22,160,3,674,7,"1,100","4,032",2020-04-09
112,Faeroe Islands,184,, ,,131,53,1,"3,766",,"5,153","105,458",2020-04-09
113,DRC,180,,18 ,,9,153,,2,0.2,,,2020-04-09
114,Kenya,179,,6 ,,9,164,2,3,0.1,"4,973",92,2020-04-09
115,Venezuela,167,,9 ,,65,93,6,6,0.3,"1,779",63,2020-04-09
116,Guinea,164,, ,,5,159,,12,,,,2020-04-09
117,Isle of Man,158,,1 ,,82,75,7,"1,858",12,"1,824","21,450",2020-04-09
118,Martinique,154,,6 ,,50,98,19,410,16,,,2020-04-09
119,Guadeloupe,141,,8 ,,43,90,13,352,20,,,2020-04-09
120,Brunei ,135,,1 ,,91,43,3,309,2,"8,845","20,218",2020-04-09
121,Djibouti,135,, ,,25,110,,137,,"3,106","3,144",2020-04-09
122,Gibraltar,120,, ,,60,60,,"3,562",,"1,481","43,958",2020-04-09
123,Paraguay,119,,5 ,,15,99,1,17,0.7,"2,039",286,2020-04-09
124,Cambodia,117,, ,,63,54,1,7,,"5,768",345,2020-04-09
125,Rwanda,110,, ,,7,103,,8,,806,62,2020-04-09
126,Trinidad and Tobago,107,,8 ,,1,98,,76,6,878,627,2020-04-09
127,El Salvador,93,,5 ,,9,79,2,14,0.8,,,2020-04-09
128,Madagascar,93,, ,,11,82,1,3,,,,2020-04-09
129,Guatemala,87,,3 ,,17,67,3,5,0.2,"1,134",63,2020-04-09
130,French Guiana,83,, ,,43,40,1,278,,,,2020-04-09
131,Monaco,81,,1 ,,4,76,4,"2,064",25,,,2020-04-09
132,Liechtenstein,78,,1 ,,55,22,,"2,046",26,900,"23,605",2020-04-09
133,Aruba,77,, ,,14,63,,721,,990,"9,273",2020-04-09
134,Togo,70,,3 ,,23,44,,8,0.4,"1,747",211,2020-04-09
135,Jamaica,63,,4 ,,10,49,,21,1,540,182,2020-04-09
136,Barbados,63,,3 ,,8,52,4,219,10,655,"2,279",2020-04-09
137,Mali,59,,7 ,,16,36,,3,0.3,,,2020-04-09
138,Ethiopia,55,,2 ,,4,49,1,0.5,0.02,"2,496",22,2020-04-09
139,Uganda,53,, ,,,53,,1,,"3,310",72,2020-04-09
140,French Polynesia,51,, ,,,51,,182,,744,"2,649",2020-04-09
141,Congo,45,,5 ,,2,38,,8,0.9,,,2020-04-09
142,Cayman Islands,45,,1 ,,6,38,,685,15,479,"7,288",2020-04-09
143,Macao,45,, ,,10,35,1,69,,,,2020-04-09
144,Bahamas,40,,7 ,,5,28,1,102,18,,,2020-04-09
145,Sint Maarten,40,,6 ,,1,33,2,933,140,112,"2,612",2020-04-09
146,Bermuda,39,,3 ,,23,13,,626,48,315,"5,058",2020-04-09
147,Zambia,39,,1 ,,7,31,1,2,0.05,"1,239",67,2020-04-09
148,Guyana,37,,6 ,,8,23,4,47,8,145,184,2020-04-09
149,Gabon,34,,1 ,,1,32,,15,0.4,,,2020-04-09
150,Eritrea,33,, ,,,33,,9,,,,2020-04-09
151,Guinea-Bissau,33,, ,,,33,,17,,,,2020-04-09
152,Saint Martin,32,,2 ,,7,23,6,828,52,,,2020-04-09
153,Liberia,31,,4 ,,3,24,,6,0.8,,,2020-04-09
154,Haiti,27,,1 ,,,26,,2,0.09,257,23,2020-04-09
155,Benin,26,,1 ,,5,20,,2,0.08,,,2020-04-09
156,Tanzania,25,,1 ,,5,19,,0.4,0.02,,,2020-04-09
157,Myanmar,22,,3 ,,,19,,0.4,0.06,"1,246",23,2020-04-09
158,Libya,21,,1 ,,8,12,,3,0.1,355,52,2020-04-09
159,Angola,19,,2 ,,2,15,,0.6,0.06,,,2020-04-09
160,Antigua and Barbuda,19,,2 ,,,17,1,194,20,40,408,2020-04-09
161,Syria,19,,2 ,,4,13,,1,0.1,,,2020-04-09
162,Maldives,19,, ,,13,6,,35,,,,2020-04-09
163,Equatorial Guinea,18,, ,,3,15,,13,,854,609,2020-04-09
164,New Caledonia,18,, ,,1,17,,63,,"2,320","8,126",2020-04-09
165,Mozambique,17,, ,,1,16,,0.5,,467,15,2020-04-09
166,Mongolia,16,, ,,4,12,,5,,,,2020-04-09
167,Namibia,16,, ,,3,13,,6,,362,142,2020-04-09
168,Dominica,15,, ,,1,14,,208,,293,"4,070",2020-04-09
169,Fiji,15,, ,,,15,,17,,,,2020-04-09
170,Laos,15,, ,,,15,,2,,781,107,2020-04-09
171,Sudan,14,,2 ,,2,10,,0.3,0.05,,,2020-04-09
172,Curaçao,14,,1 ,,7,6,,85,6,,,2020-04-09
173,Saint Lucia,14,, ,,1,13,,76,,,,2020-04-09
174,Somalia,12,,1 ,,1,10,,0.8,0.06,,,2020-04-09
175,Grenada,12,, ,,,12,2,107,,45,400,2020-04-09
176,Eswatini,12,, ,,7,5,,10,,,,2020-04-09
177,Zimbabwe,11,,3 ,,,8,,0.7,0.2,371,25,2020-04-09
178,Greenland,11,, ,,11,0,,194,,770,"13,564",2020-04-09
179,Saint Kitts and Nevis,11,, ,,,11,,207,,183,"3,440",2020-04-09
180,Seychelles,11,, ,,,11,,112,,,,2020-04-09
181,Suriname,10,,1 ,,3,6,,17,2,,,2020-04-09
182,Chad,10,, ,,2,8,,0.6,,,,2020-04-09
183,MS Zaandam,9,,2 ,,,7,,,,,,2020-04-09
184,Nepal,9,, ,,1,8,,0.3,,"2,366",81,2020-04-09
185,Montserrat,9,, ,,,9,1,"1,803",,36,"7,212",2020-04-09
186,Belize,8,,1 ,,,7,1,20,3,268,674,2020-04-09
187,Malawi,8,,1 ,,,7,1,0.4,0.05,,,2020-04-09
188,Turks and Caicos,8,,1 ,,,7,,207,26,61,"1,576",2020-04-09
189,CAR,8,, ,,,8,,2,,,,2020-04-09
190,Vatican City,8,, ,,2,6,,"9,988",,,,2020-04-09
191,St. Vincent Grenadines,8,, ,,1,7,,72,,56,505,2020-04-09
192,Cabo Verde,7,,1 ,,1,5,,13,2,,,2020-04-09
193,Sierra Leone,7,, ,,,7,,0.9,,,,2020-04-09
194,Botswana,6,,1 ,,,5,,3,0.4,"1,154",491,2020-04-09
195,Mauritania,6,,1 ,,2,3,,1,0.2,67,14,2020-04-09
196,Nicaragua,6,,1 ,,,5,,0.9,0.2,,,2020-04-09
197,St. Barth,6,, ,,1,5,,607,,,,2020-04-09
198,Bhutan,5,, ,,2,3,,6,,"1,166","1,511",2020-04-09
199,Falkland Islands,5,, ,,1,4,,"1,437",,137,"39,368",2020-04-09
200,Gambia,4,,1 ,,2,1,,2,0.4,,,2020-04-09
201,Sao Tome and Principe,4,, ,,,4,,18,,19,87,2020-04-09
202,Western Sahara,4,, ,,,4,,7,,,,2020-04-09
203,Anguilla,3,, ,,,3,,200,,,,2020-04-09
204,British Virgin Islands,3,, ,,,3,,99,,,,2020-04-09
205,Burundi,3,, ,,,3,,0.3,,,,2020-04-09
206,Caribbean Netherlands,2,, ,,,2,,76,,10,381,2020-04-09
207,Papua New Guinea,2,, ,,,2,,0.2,,72,8,2020-04-09
208,South Sudan,2,, ,,,2,,0.2,,,,2020-04-09
209,Saint Pierre Miquelon,1,, ,,,1,,173,,,,2020-04-09
210,Timor-Leste,1,, ,,,1,,0.8,,,,2020-04-09
211,China,"81,865",+63,"3,335 ",+2,"77,370","1,160",176,57,2,,,2020-04-09
212,Total:,"1,518,518",+558,"88,495",+40,"330,589","1,099,434","48,079",195,11.4,,,2020-04-09
213,World,"1,517,960","+84,384","88,455","+6,414","330,266","1,099,239","48,092",195,11.3,,,2020-04-09
214,China,"81,802",+62,"3,333 ",+2,"77,279","1,190",189,57,2,,,2020-04-09
215,USA,"434,927","+31,935","14,788 ","+1,940","22,891","397,248","9,279","1,314",45,"2,209,041","6,674",2020-04-09
216,Spain,"148,220","+6,278","14,792 ",+747,"48,021","85,407","7,069","3,170",316,"355,000","7,593",2020-04-09
217,Italy,"139,422","+3,836","17,669 ",+542,"26,491","95,262","3,693","2,306",292,"807,125","13,349",2020-04-09
218,Germany,"113,296","+5,633","2,349 ",+333,"46,300","64,647","4,895","1,352",28,"1,317,887","15,730",2020-04-09
219,France,"112,950","+3,881","10,869 ",+541,"21,254","80,827","7,148","1,730",167,"224,254","3,436",2020-04-09
220,Iran,"64,586","+1,997","3,993 ",+121,"29,812","30,781","3,987",769,48,"211,136","2,514",2020-04-09
221,UK,"60,733","+5,491","7,097 ",+938,135,"53,501","1,559",895,105,"282,074","4,155",2020-04-09
222,Turkey,"38,226","+4,117",812 ,+87,"1,846","35,568","1,492",453,10,"247,768","2,938",2020-04-09
223,Belgium,"23,403","+1,209","2,240 ",+205,"4,681","16,482","1,276","2,019",193,"84,248","7,269",2020-04-09
224,Switzerland,"23,280","+1,027",895 ,+74,"9,800","12,585",391,"2,690",103,"171,938","19,867",2020-04-09
225,Netherlands,"20,549",+969,"2,248 ",+147,250,"18,051","1,424","1,199",131,"101,534","5,926",2020-04-09
226,Canada,"19,438","+1,541",427 ,+46,"4,548","14,463",426,515,11,"361,969","9,591",2020-04-09
227,Brazil,"16,188","+2,154",820 ,+134,127,"15,241",296,76,4,"54,824",258,2020-04-09
228,Portugal,"13,141",+699,380 ,+35,196,"12,565",245,"1,289",37,"128,784","12,630",2020-04-09
229,Austria,"12,942",+303,273 ,+30,"4,512","8,157",267,"1,437",30,"120,755","13,408",2020-04-09
230,S. Korea,"10,384",+53,200 ,+8,"6,776","3,408",55,203,4,"477,304","9,310",2020-04-09
231,Israel,"9,404",+156,73 ,+8,801,"8,530",147,"1,086",8,"117,339","13,557",2020-04-09
232,Russia,"8,672","+1,175",63 ,+5,580,"8,029",8,59,0.4,"910,221","6,237",2020-04-09
233,Sweden,"8,419",+726,687 ,+96,205,"7,527",678,834,68,"54,700","5,416",2020-04-09
234,Ireland,"6,074",+365,235 ,+25,25,"5,814",165,"1,230",48,"42,484","8,604",2020-04-09
235,Australia,"6,052",+64,50 ,+1,"2,813","3,189",87,237,2,"319,784","12,541",2020-04-09
236,Norway,"6,042",,101 ,+12,32,"5,909",78,"1,115",19,"113,896","21,009",2020-04-09
237,India,"5,916",+565,178 ,+18,506,"5,232",,4,0.1,"167,235",121,2020-04-09
238,Chile,"5,546",+430,48 ,+5,"1,115","4,383",362,290,3,"60,391","3,159",2020-04-09
239,Denmark,"5,402",+331,218 ,+15,"1,621","3,563",127,933,38,"64,002","11,050",2020-04-09
240,Czechia,"5,312",+295,99 ,+11,233,"4,980",103,496,9,"98,681","9,215",2020-04-09
241,Poland,"5,205",+357,159 ,+30,222,"4,824",160,138,4,"99,284","2,623",2020-04-09
242,Romania,"4,761",+344,220 ,+23,528,"4,013",162,247,11,"47,207","2,454",2020-04-09
243,Japan,"4,667",+410,94 ,+1,632,"3,941",99,37,0.7,"55,311",437,2020-04-09
244,Ecuador,"4,450",+455,242 ,+22,140,"4,068",146,252,14,"14,406",817,2020-04-09
245,Peru,"4,342","+1,388",121 ,+14,"1,333","2,888",113,132,4,"39,599","1,201",2020-04-09
246,Pakistan,"4,263",+228,61 ,+4,467,"3,735",25,19,0.3,"42,159",191,2020-04-09
247,Malaysia,"4,119",+156,65 ,+2,"1,487","2,567",76,127,2,"58,240","1,799",2020-04-09
248,Philippines,"3,870",+106,182 ,+5,96,"3,592",1,35,2,"24,500",224,2020-04-09
249,Luxembourg,"3,034",+64,46 ,+2,500,"2,488",34,"4,847",73,"26,573","42,450",2020-04-09
250,Indonesia,"2,956",+218,240 ,+19,222,"2,494",,11,0.9,"14,354",52,2020-04-09
251,Saudi Arabia,"2,932",+137,41 ,,631,"2,260",41,84,1,,,2020-04-09
252,Mexico,"2,785",+346,141 ,+16,633,"2,011",89,22,1,"25,410",197,2020-04-09
253,Serbia,"2,666",+219,65 ,+4,118,"2,483",112,305,7,"10,761","1,232",2020-04-09
254,UAE,"2,659",+300,12 ,,239,"2,408",1,269,1,"593,095","59,967",2020-04-09
255,Panama,"2,528",+428,63 ,+8,16,"2,449",101,586,15,"11,776","2,729",2020-04-09
256,Finland,"2,487",+179,40 ,+6,300,"2,147",82,449,7,"36,500","6,588",2020-04-09
257,Thailand,"2,369",+111,30 ,+3,888,"1,451",61,34,0.4,"71,860","1,030",2020-04-09
258,Qatar,"2,210",+153,6 ,,178,"2,026",37,767,2,"41,818","14,515",2020-04-09
259,Dominican Republic,"2,111",+155,108 ,+10,50,"1,953",147,195,10,"4,542",419,2020-04-09
260,Colombia,"2,054",+274,55 ,+5,123,"1,876",76,40,1,"33,575",660,2020-04-09
261,Greece,"1,884",+52,83 ,+2,269,"1,532",84,181,8,"32,528","3,121",2020-04-09
262,South Africa,"1,845",+96,18 ,+5,95,"1,732",7,31,0.3,"63,776","1,075",2020-04-09
263,Argentina,"1,795",+80,65 ,+5,358,"1,372",96,40,1,"13,330",295,2020-04-09
264,Ukraine,"1,668",+206,52 ,+7,35,"1,581",33,38,1,"7,205",165,2020-04-09
265,Singapore,"1,623",+142,6 ,,406,"1,211",29,277,1,"65,000","11,110",2020-04-09
266,Iceland,"1,616",+30,6 ,,633,977,13,"4,736",18,"30,947","90,689",2020-04-09
267,Algeria,"1,572",+104,205 ,+12,237,"1,130",46,36,5,"3,359",77,2020-04-09
268,Egypt,"1,560",+110,103 ,+9,305,"1,152",,15,1,"25,000",244,2020-04-09
269,Croatia,"1,343",+61,19 ,+1,179,"1,145",36,327,5,"13,125","3,197",2020-04-09
270,Morocco,"1,275",+91,93 ,+3,97,"1,085",1,35,3,"5,752",156,2020-04-09
271,New Zealand,"1,210",+50,1 ,,282,927,4,251,0.2,"46,875","9,721",2020-04-09
272,Iraq,"1,202",+80,69 ,+4,452,681,,30,2,"28,414",706,2020-04-09
273,Estonia,"1,185",+36,24 ,+3,72,"1,089",11,893,18,"24,813","18,705",2020-04-09
274,Moldova,"1,174",+118,27 ,+5,40,"1,107",80,291,7,"5,108","1,266",2020-04-09
275,Slovenia,"1,091",+32,40 ,+4,120,931,35,525,19,"30,669","14,752",2020-04-09
276,Belarus,"1,066",+205,13 ,,77,976,33,113,1,"46,000","4,868",2020-04-09
277,Hong Kong,961,+25,4 ,,264,693,14,128,0.5,"96,709","12,900",2020-04-09
278,Lithuania,912,+32,15 ,,8,889,21,335,6,"30,108","11,060",2020-04-09
279,Hungary,895,+78,58 ,+11,94,743,17,93,6,"25,748","2,665",2020-04-09
280,Armenia,881,+28,9 ,+1,114,758,30,297,3,"5,452","1,840",2020-04-09
281,Kuwait,855,+112,1 ,,111,743,21,200,0.2,,,2020-04-09
282,Bahrain,823,+12,5 ,,477,341,3,484,3,"52,351","30,766",2020-04-09
283,Azerbaijan,822,+105,8 ,,63,751,23,81,0.8,"53,300","5,257",2020-04-09
284,Bosnia and Herzegovina,804,+40,34 ,+1,79,691,4,245,10,"6,911","2,106",2020-04-09
285,Cameroon,730,+45,10 ,+1,60,660,,27,0.4,,,2020-04-09
286,Kazakhstan,727,+30,7 ,+1,54,666,21,39,0.4,"56,775","3,024",2020-04-09
287,Diamond Princess,712,,11 ,,619,82,10,,,,,2020-04-09
288,Slovakia,682,+101,2 ,,16,664,3,125,0.4,"19,681","3,605",2020-04-09
289,Tunisia,628,+5,24 ,+1,25,579,67,53,2,"8,878",751,2020-04-09
290,North Macedonia,617,+18,29 ,+3,35,553,15,296,14,"6,230","2,990",2020-04-09
291,Bulgaria,593,+16,24 ,+1,42,527,27,85,3,"15,899","2,288",2020-04-09
292,Latvia,577,+29,2 ,,16,559,5,306,1,"24,036","12,743",2020-04-09
293,Lebanon,576,+28,19 ,,62,495,29,84,3,"10,808","1,583",2020-04-09
294,Andorra,564,+19,23 ,+1,52,489,17,"7,300",298,"1,673","21,653",2020-04-09
295,Uzbekistan,545,+25,3 ,+1,30,512,8,16,0.09,,,2020-04-09
296,Cyprus,526,+32,9 ,,52,465,13,436,7,"14,273","11,822",2020-04-09
297,Costa Rica,502,+19,3 ,+1,29,470,15,99,0.6,"6,035","1,185",2020-04-09
298,Cuba,457,+61,12 ,+1,27,418,15,40,1,"9,410",831,2020-04-09
299,Uruguay,456,+32,7 ,,192,257,14,131,2,"6,175","1,778",2020-04-09
300,Afghanistan,444,+21,14 ,,29,401,,11,0.4,,,2020-04-09
301,Oman,419,+48,2 ,,72,345,3,82,0.4,,,2020-04-09
302,Burkina Faso,414,+30,23 ,+4,134,257,,20,1,,,2020-04-09
303,Albania,400,+17,22 ,,154,224,7,139,8,"2,989","1,039",2020-04-09
304,Ivory Coast,384,+35,3 ,,48,333,,15,0.1,,,2020-04-09
305,Taiwan,379,+3,5 ,,67,307,,16,0.2,"40,702","1,709",2020-04-09
306,Réunion,362,+4, ,,40,322,4,404,,,,2020-04-09
307,Jordan,358,+5,6 ,,150,202,5,35,0.6,"17,000","1,666",2020-04-09
308,Channel Islands,351,+16,8 ,+1,38,305,,"2,019",46,"1,157","6,655",2020-04-09
309,Niger,342,+64,11 ,,28,303,,14,0.5,"4,199",173,2020-04-09
310,Ghana,313,+26,6 ,+1,34,273,2,10,0.2,,,2020-04-09
311,Honduras,312,+7,22 ,,6,284,10,32,2,,,2020-04-09
312,San Marino,308,+29,34 ,,45,229,14,"9,077","1,002",722,"21,278",2020-04-09
313,Malta,299,+6,1 ,+1,16,282,4,677,2,"12,731","28,833",2020-04-09
314,Nigeria,276,+22,6 ,,44,226,2,1,0.03,"5,000",24,2020-04-09
315,Mauritius,273,+5,7 ,,19,247,3,215,6,"4,913","3,863",2020-04-09
316,Kyrgyzstan,270,+42,4 ,,33,233,5,41,0.6,"9,618","1,474",2020-04-09
